"table_catalog","table_schema","table_name","column_name","data_type","numeric_precision","ordinal_position","column_default","is_nullable","description"
kyc_db,public,access_log,pk,bigint,64,1,,NO,
kyc_db,public,access_log,active,boolean,,2,,NO,
kyc_db,public,access_log,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,access_log,deleted,boolean,,4,,NO,
kyc_db,public,access_log,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,access_log,kit_tag,character varying,,6,,YES,
kyc_db,public,access_log,login_status_enum,character varying,,7,,YES,
kyc_db,public,access_log,mac_address,character varying,,8,,YES,
kyc_db,public,access_log,realtime_device_id,character varying,,9,,YES,
kyc_db,public,access_log,ref_device_id,character varying,,10,,YES,
kyc_db,public,access_log,username,character varying,,11,,YES,
kyc_db,public,agent_detail,pk,numeric,19,1,,NO,
kyc_db,public,agent_detail,active,boolean,,2,,NO,
kyc_db,public,agent_detail,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,agent_detail,deleted,boolean,,4,,NO,
kyc_db,public,agent_detail,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,agent_detail,account_number,text,,6,,YES,
kyc_db,public,agent_detail,vtu_number,text,,7,,YES,
kyc_db,public,agent_detail,km_user_fk,numeric,19,8,,YES,
kyc_db,public,agent_fingerprint,pk,numeric,19,1,,NO,
kyc_db,public,agent_fingerprint,active,boolean,,2,,NO,
kyc_db,public,agent_fingerprint,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,agent_fingerprint,deleted,boolean,,4,,NO,
kyc_db,public,agent_fingerprint,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,agent_fingerprint,finger_type,text,,6,,NO,
kyc_db,public,agent_fingerprint,fingerprint_,bytea,,7,,NO,
kyc_db,public,agent_fingerprint,user_fk,numeric,19,8,,NO,
kyc_db,public,agility_integration_log_,pk,bigint,64,1,,NO,
kyc_db,public,agility_integration_log_,active,boolean,,2,,NO,
kyc_db,public,agility_integration_log_,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,agility_integration_log_,deleted,boolean,,4,,NO,
kyc_db,public,agility_integration_log_,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,agility_integration_log_,backup_path,character varying,,6,,YES,
kyc_db,public,agility_integration_log_,msisdn,character varying,,7,,YES,
kyc_db,public,agility_integration_log_,request_time,timestamp without time zone,,8,,YES,
kyc_db,public,agility_integration_log_,request_type,character varying,,9,,YES,
kyc_db,public,agility_integration_log_,response_code,character varying,,10,,YES,
kyc_db,public,agility_integration_log_,response_description,character varying,,11,,YES,
kyc_db,public,agility_integration_log_,response_time,timestamp without time zone,,12,,YES,
kyc_db,public,agility_integration_log_,sim_serial,character varying,,13,,YES,
kyc_db,public,agility_integration_log_,transaction_id,character varying,,14,,YES,
kyc_db,public,agility_integration_log_,request_path,character varying,,15,,YES,
kyc_db,public,alert_entity_type_mapper,alert_fk,bigint,64,1,,NO,
kyc_db,public,alert_entity_type_mapper,entity_type_fk,bigint,64,2,,NO,
kyc_db,public,alert_receiver,pk,bigint,64,1,,NO,
kyc_db,public,alert_receiver,active,boolean,,2,,NO,
kyc_db,public,alert_receiver,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,alert_receiver,deleted,boolean,,4,,NO,
kyc_db,public,alert_receiver,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,alert_receiver,email,character varying,,6,,NO,
kyc_db,public,alert_receiver,full_name,character varying,,7,,YES,
kyc_db,public,alert_receiver,mobile,character varying,,8,,YES,
kyc_db,public,alert_receiver_mapper,alert_fk,bigint,64,1,,NO,
kyc_db,public,alert_receiver_mapper,alert_receiver_fk,bigint,64,2,,NO,
kyc_db,public,area,id,bigint,64,1,,NO,
kyc_db,public,area,code,character varying,,2,,NO,
kyc_db,public,area,name,character varying,,3,,NO,
kyc_db,public,area,lga_fk,bigint,64,4,,NO,
kyc_db,public,attachment_,pk,numeric,19,1,,NO,
kyc_db,public,attachment_,active,boolean,,2,,NO,
kyc_db,public,attachment_,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,attachment_,deleted,boolean,,4,,NO,
kyc_db,public,attachment_,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,attachment_,attachment_type_enum,text,,6,,YES,
kyc_db,public,attachment_,file_data_,bytea,,7,,YES,
kyc_db,public,attachment_,km_user_fk,numeric,19,8,,YES,
kyc_db,public,b2b_location,pk,numeric,19,1,,NO,
kyc_db,public,b2b_location,active,boolean,,2,,NO,
kyc_db,public,b2b_location,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,b2b_location,deleted,boolean,,4,,NO,
kyc_db,public,b2b_location,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,b2b_location,description,text,,6,,YES,
kyc_db,public,b2b_location,name,text,,7,,YES,
kyc_db,public,b2b_location,short_code,text,,8,,YES,
kyc_db,public,b2b_location,short_code_description,text,,9,,YES,
kyc_db,public,b2b_log,pk,numeric,19,1,,NO,
kyc_db,public,b2b_log,active,boolean,,2,,NO,
kyc_db,public,b2b_log,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,b2b_log,deleted,boolean,,4,,NO,
kyc_db,public,b2b_log,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,b2b_log,description,text,,6,,YES,
kyc_db,public,b2b_log,kit_image,bytea,,7,,YES,
kyc_db,public,b2b_log,kit_tag,text,,8,,YES,
kyc_db,public,b2b_log,rejection_reason,text,,9,,YES,
kyc_db,public,b2b_log,resolution_date,timestamp without time zone,,10,,YES,
kyc_db,public,b2b_log,status_enum,text,,11,,YES,
kyc_db,public,b2b_log,approved_by_km_user_fk,numeric,19,12,,YES,
kyc_db,public,b2b_log,b2b_location_fk,numeric,19,13,,YES,
kyc_db,public,b2b_log,kyc_dealer_fk,numeric,19,14,,YES,
kyc_db,public,b2b_log,node_fk,numeric,19,15,,YES,
kyc_db,public,b2b_log,workflow_fk,numeric,19,16,,YES,
kyc_db,public,b2b_request_approval,pk,numeric,19,1,,NO,
kyc_db,public,b2b_request_approval,active,boolean,,2,,NO,
kyc_db,public,b2b_request_approval,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,b2b_request_approval,deleted,boolean,,4,,NO,
kyc_db,public,b2b_request_approval,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,b2b_request_approval,approval_status,text,,6,,YES,
kyc_db,public,b2b_request_approval,feedback,text,,7,,NO,
kyc_db,public,b2b_request_approval,approved_by,numeric,19,8,,NO,
kyc_db,public,b2b_request_approval,b2b_request_fk,numeric,19,9,,NO,
kyc_db,public,b2b_request_approval,workflow_fk,numeric,19,10,,NO,
kyc_db,public,banned_,pk,bigint,64,1,,NO,
kyc_db,public,banned_,active,boolean,,2,,NO,
kyc_db,public,banned_,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,banned_,deleted,boolean,,4,,NO,
kyc_db,public,banned_,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,banned_,expiry_,timestamp without time zone,,6,,NO,
kyc_db,public,banned_,ip_,character varying,,7,,NO,
kyc_db,public,basic_data,id,bigint,64,1,,NO,
kyc_db,public,basic_data,biometric_capture_agent,character varying,,2,,YES,
kyc_db,public,basic_data,birthday,timestamp without time zone,,3,,YES,
kyc_db,public,basic_data,bd_part_key,timestamp without time zone,,4,,YES,
kyc_db,public,basic_data,firstname,character varying,,5,,YES,
kyc_db,public,basic_data,gender,character varying,,6,,YES,
kyc_db,public,basic_data,is_processed,boolean,,7,,NO,
kyc_db,public,basic_data,last_basic_data_edit_agent,character varying,,8,,NO,
kyc_db,public,basic_data,last_basic_data_edit_login_id,character varying,,9,,NO,
kyc_db,public,basic_data,match_found,boolean,,10,,NO,
kyc_db,public,basic_data,match_id,character varying,,11,,YES,
kyc_db,public,basic_data,othername,character varying,,12,,YES,
kyc_db,public,basic_data,sms_status,character varying,,13,,YES,
kyc_db,public,basic_data,surname,character varying,,14,,YES,
kyc_db,public,basic_data,sv_init_timestamp,timestamp without time zone,,15,,YES,
kyc_db,public,basic_data,sv_push_timestamp,timestamp without time zone,,16,,YES,
kyc_db,public,basic_data,sv_status,character varying,,17,,YES,
kyc_db,public,basic_data,sync_status,character varying,,18,,YES,
kyc_db,public,basic_data,state_of_registration_fk,bigint,64,19,,NO,
kyc_db,public,basic_data,user_id_fk,bigint,64,20,,NO,
kyc_db,public,bfp_failure_log,pk,bigint,64,1,,NO,
kyc_db,public,bfp_failure_log,active,boolean,,2,,NO,
kyc_db,public,bfp_failure_log,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,bfp_failure_log,deleted,boolean,,4,,NO,
kyc_db,public,bfp_failure_log,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,bfp_failure_log,msisdn,character varying,,6,,YES,
kyc_db,public,bfp_failure_log,rejection_reason,character varying,,7,,YES,
kyc_db,public,bfp_failure_log,sim_serial,character varying,,8,,YES,
kyc_db,public,bfp_failure_log,unique_id,character varying,,9,,NO,
kyc_db,public,bfp_sync_log,pk,bigint,64,1,,NO,
kyc_db,public,bfp_sync_log,active,boolean,,2,,NO,
kyc_db,public,bfp_sync_log,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,bfp_sync_log,deleted,boolean,,4,,NO,
kyc_db,public,bfp_sync_log,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,bfp_sync_log,activation_date,timestamp without time zone,,6,,YES,
kyc_db,public,bfp_sync_log,activationstatusenum,character varying,,7,,YES,
kyc_db,public,bfp_sync_log,bfpsyncstatusenum,character varying,,8,,YES,
kyc_db,public,bfp_sync_log,file_name,character varying,,9,,YES,
kyc_db,public,bfp_sync_log,file_sync_date,timestamp without time zone,,10,,YES,
kyc_db,public,bfp_sync_log,msisdn,character varying,,11,,YES,
kyc_db,public,bfp_sync_log,sim_serial,character varying,,12,,YES,
kyc_db,public,bfp_sync_log,source_path,character varying,,13,,YES,
kyc_db,public,bfp_sync_log,target_path,character varying,,14,,YES,
kyc_db,public,bfp_sync_log,unique_id,character varying,,15,,NO,
kyc_db,public,bfp_sync_log,enrollment_ref_fk,bigint,64,16,,YES,
kyc_db,public,black_listed_app,pk,bigint,64,1,,NO,
kyc_db,public,black_listed_app,active,boolean,,2,,NO,
kyc_db,public,black_listed_app,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,black_listed_app,deleted,boolean,,4,,NO,
kyc_db,public,black_listed_app,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,black_listed_app,blacklisted,boolean,,6,,YES,
kyc_db,public,black_listed_app,date_of_action,timestamp without time zone,,7,,NO,
kyc_db,public,black_listed_app,date_tagged,timestamp without time zone,,8,,NO,
kyc_db,public,black_listed_app,device_id,character varying,,9,,NO,
kyc_db,public,black_listed_app,device_tag,character varying,,10,,NO,
kyc_db,public,black_listed_app,blacklisted_by_fk,bigint,64,11,,NO,
kyc_db,public,black_listed_app,outlet_fk,bigint,64,12,,NO,
kyc_db,public,black_listed_app,vendor_prov_fk,bigint,64,13,,NO,
kyc_db,public,black_listed_app_history,pk,bigint,64,1,,NO,
kyc_db,public,black_listed_app_history,active,boolean,,2,,NO,
kyc_db,public,black_listed_app_history,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,black_listed_app_history,deleted,boolean,,4,,NO,
kyc_db,public,black_listed_app_history,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,black_listed_app_history,activity_timestamp,timestamp without time zone,,6,,YES,
kyc_db,public,black_listed_app_history,approved_by,character varying,,7,,YES,
kyc_db,public,black_listed_app_history,blacklisted,boolean,,8,,YES,
kyc_db,public,black_listed_app_history,device_tag,character varying,,9,,YES,
kyc_db,public,black_listed_app_history,mac_address,character varying,,10,,YES,
kyc_db,public,black_listed_app_history,blacklist_reason,character varying,,11,,YES,
kyc_db,public,black_listed_app_history,km_user_id,bigint,64,12,,YES,
kyc_db,public,black_listed_app_history,ip_address,character varying,,13,,YES,
kyc_db,public,black_listed_app_history,black_listed_app_fk,bigint,64,14,,YES,
kyc_db,public,black_listed_app_history,blacklist_reason_fk,bigint,64,15,,YES,
kyc_db,public,blacklist_history,id,bigint,64,1,,NO,
kyc_db,public,blacklist_history,activity_timestamp,timestamp without time zone,,2,,YES,
kyc_db,public,blacklist_history,approved_by,character varying,,3,,YES,
kyc_db,public,blacklist_history,blacklisted,boolean,,4,,YES,
kyc_db,public,blacklist_history,enrollment_ref,character varying,,5,,YES,
kyc_db,public,blacklist_history,mac_address,character varying,,6,,YES,
kyc_db,public,blacklist_history,blacklist_reason,character varying,,7,,YES,
kyc_db,public,blacklist_history,km_user_id,bigint,64,8,,YES,
kyc_db,public,blacklist_history,ip_address,character varying,,9,,YES,
kyc_db,public,blacklist_history,blacklist_reason_fk,bigint,64,10,,YES,
kyc_db,public,blacklist_history,node_fk,bigint,64,11,,YES,
kyc_db,public,blacklist_reason,pk,bigint,64,1,,NO,
kyc_db,public,blacklist_reason,active,boolean,,2,,NO,
kyc_db,public,blacklist_reason,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,blacklist_reason,deleted,boolean,,4,,NO,
kyc_db,public,blacklist_reason,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,blacklist_reason,code,character varying,,6,,YES,
kyc_db,public,blacklist_reason,description,character varying,,7,,YES,
kyc_db,public,blacklist_reason,name,character varying,,8,,YES,
kyc_db,public,blacklist_reason,reason_type,character varying,,9,,YES,
kyc_db,public,blacklisted_data,pk,text,,1,,NO,
kyc_db,public,blacklisted_data,active,boolean,,2,,NO,
kyc_db,public,blacklisted_data,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,blacklisted_data,deleted,boolean,,4,,NO,
kyc_db,public,blacklisted_data,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,blacklisted_data,process_method,text,,6,,YES,
kyc_db,public,blacklisted_data,sender,text,,7,,YES,
kyc_db,public,blacklisted_data,target_address,text,,8,,YES,
kyc_db,public,blacklisted_data,target_record,text,,9,,YES,
kyc_db,public,blacklisted_data,blacklist_fk,text,,10,,NO,
kyc_db,public,blacklisted_name,pk,numeric,19,1,,NO,
kyc_db,public,blacklisted_name,active,boolean,,2,,NO,
kyc_db,public,blacklisted_name,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,blacklisted_name,deleted,boolean,,4,,NO,
kyc_db,public,blacklisted_name,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,blacklisted_name,name_,text,,6,,NO,
kyc_db,public,blacklisted_name,km_user_fk,numeric,19,7,,YES,
kyc_db,public,blacklisted_name_settings,pk,numeric,19,1,,NO,
kyc_db,public,blacklisted_name_settings,active,boolean,,2,,NO,
kyc_db,public,blacklisted_name_settings,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,blacklisted_name_settings,deleted,boolean,,4,,NO,
kyc_db,public,blacklisted_name_settings,last_modified,timestamp without time zone,,5,,NO,
kyc_db,public,blacklisted_name_settings,description,text,,6,,YES,
kyc_db,public,blacklisted_name_settings,name_,text,,7,,NO,
kyc_db,public,blacklisted_name_settings,value,text,,8,,NO,
kyc_db,public,bundle_type,pk,bigint,64,1,,NO,
kyc_db,public,bundle_type,active,boolean,,2,,NO,
kyc_db,public,bundle_type,create_date,timestamp without time zone,,3,,NO,
kyc_db,public,bundle_type,deleted,boolean,,4,,NO,
kyc_db,public,bundle_type,last_modified,timestamp without time zone,,5,,NO,
